col_name,feat_imp,norm_feat_imp,direction
issue,0.002638916644617399,1.0,-
text,0.0021427306818151627,0.811973612802698,+
activity,0.000720937162360347,0.2731943670258942,+
sprint,0.000311752052064896,0.11813637717613287,+
developer,0.0002802099401900323,0.10618370260446718,+
