repository,num_sprints,num_issues,num_developers,num_activity_types,total_activities,avg_productivity,avg_quality
apache,1812,0,0,0,0,1.8179750461706987,0.7999852382214061
jenkins,2840,0,0,0,0,0.9567248877924932,0.4587702650170196
jira,6036,0,0,0,0,1.068002896198251,0.920854936269926
spring,1670,0,0,0,0,1.777220477759392,0.8111165775554979
talendforge,3620,0,0,0,0,1.753673035453861,1.2155752713838335
