col_name,feat_imp,norm_feat_imp
s_no_teammember,0.035469888551961794,0.9999999999999999
s_no_issue,0.0219393342292855,0.6185340615645115
d_most_prefer_type_Task,0.01557031413811659,0.43897273923786867
s_plan_duration,0.0151912416064548,0.42828557479678325
i_type_Task,0.014744121828695647,0.4156799592729526
i_no_comments,0.007309226099058886,0.206068482238144
d_developer_activeness,0.007016453096256605,0.19781435416628998
d_no_comment,0.006274808233908001,0.17690521425562666
d_most_prefer_type_New Feature,0.006257162912987597,0.1764077410004019
d_most_prefer_type_Bug,0.0056278537296560426,0.15866567275539897
i_no_change_description,0.00421014961053878,0.1186964431639276
i_type_New Feature,0.003890399983762502,0.10968176508542564
i_priority_Trivial,0.0033426027692350533,0.09423775787562147
i_priority_Critical,0.003338443200515995,0.0941204874558691
i_type_Bug,0.002296182089361164,0.06473609540659707
i_type_Improvement,0.002276918422779259,0.06419299624930243
d_most_prefer_type_Story,0.0021983425948339306,0.06197771362076476
d_most_prefer_type_Na,0.0020136106716981267,0.05676957988600041
d_most_prefer_type_Improvement,0.0019988273157291545,0.05635279380145111
d_no_distinct_action,0.001931041429044304,0.054441711205701
i_type_Story,0.0018434725733949928,0.05197288879818126
i_no_change_fix,0.0016874365710366427,0.04757377708037125
i_priority_Blocker,0.0016166245858902943,0.045577379909779295
i_priority_Major,0.0015000333222995876,0.042290330856329196
i_fog_index,0.0014223607912532774,0.04010051481186874
i_no_change_priority,0.0010122091620016595,0.028537139622494684
i_no_component,0.0007063680173395029,0.01991458237329123
i_priority_Minor,0.0006857536425837608,0.019333402798240047
d_most_prefer_type_Epic,0.0,0.0
i_type_Epic,0.0,0.0
d_most_prefer_type_Technical task,0.0,0.0
