col_name,feat_imp,norm_feat_imp
d_most_prefer_type_Na,0.0030528516927005207,0.9999999999999999
d_developer_activeness,0.0018277994626525109,0.598718721588358
i_priority_High,0.0015756650746973611,0.5161289290484806
i_priority_Medium,0.0015558276492303718,0.5096309306313216
d_no_comment,0.0014981842606238151,0.49074911310170355
d_most_prefer_type_Bug,0.0013932309432369049,0.4563703328819315
i_no_component,0.0013109444800671998,0.42941636608215056
i_no_change_description,0.0012870447864834758,0.42158772060917554
i_priority_Low,0.0012459088167792493,0.4081131159296937
s_no_issue,0.001128056862493444,0.3695092248308913
i_no_change_priority,0.00108771083572633,0.3562933759039412
i_no_comments,0.001006551919393356,0.32970875126363264
s_no_teammember,0.0008791551695165676,0.28797834222299745
d_most_prefer_type_Suggestion,0.0008680780391441081,0.2843498887350847
d_no_distinct_action,0.0008129677047966353,0.2662978050130868
i_priority_Highest,0.0006596468631873547,0.21607563340354666
i_no_change_fix,0.0006364375406249951,0.20847312764872933
i_type_Suggestion,0.0006275777441424433,0.20557098978735341
i_fog_index,0.0006262889191474367,0.2051488189370339
i_priority_Major,0.0006238691425838571,0.20435619066446983
s_plan_duration,0.0006139959674439972,0.20112210786789408
i_priority_Trivial,0.0005478742376497538,0.17946310296033735
d_most_prefer_type_Sub-task,0.0005240965202917912,0.17167441233549766
i_priority_Critical,0.0004949048275422237,0.16211230592221662
i_priority_Minor,7.865030609756394e-05,0.02576289778033426
i_type_Bug,4.909172984647826e-06,0.0016080614057950593
i_priority_Blocker,0.0,0.0
