col_name,feat_imp,norm_feat_imp
s_plan_duration,0.022158271236770128,1.0
i_type_New Feature,0.008405475682973831,0.3793380626655351
i_priority_Major,0.007754764767864595,0.3499715607324138
i_fog_index,0.005512328753293079,0.24877070482582364
i_priority_Critical,0.004410052500033348,0.1990251158544882
d_no_comment,0.004133851884265022,0.18656021672869405
s_no_teammember,0.0035115338808768977,0.15847508333816895
d_developer_activeness,0.002662302560693865,0.12014938043884746
d_no_distinct_action,0.0019493213466925906,0.08797262773179822
i_type_Improvement,0.001760929152231275,0.07947051163942492
s_no_issue,0.001727072882471307,0.07794258243419949
d_most_prefer_type_Story,0.0016133517395732246,0.07281036152748137
i_no_change_fix,0.0015736522858552145,0.07101873016356289
i_no_component,0.001529920662517406,0.06904512749074973
d_most_prefer_type_Task,0.001524868625907391,0.06881712971258229
d_most_prefer_type_Na,0.0013059331275153863,0.05893659814707386
d_most_prefer_type_Bug,0.0013020347927879463,0.05876066679007472
i_no_comments,0.0012522001696899385,0.056511636504024666
i_no_change_priority,0.001175052203201662,0.05302995845866097
d_most_prefer_type_Improvement,0.0011690682673690378,0.05275990418553273
i_priority_Blocker,0.001127938461851897,0.050903721224432014
d_most_prefer_type_Sub-task,0.0010842666411579873,0.048932817437432635
i_priority_Minor,0.0004115460120219677,0.01857301987255375
d_most_prefer_type_New Feature,0.0003538508393127846,0.015969243969068916
i_type_Task,0.00021902339987794162,0.009884498548536916
d_most_prefer_type_Documentation,0.0,0.0
d_most_prefer_type_Epic,0.0,0.0
d_most_prefer_type_Suitable Name Search,0.0,0.0
d_most_prefer_type_Test,0.0,0.0
i_type_Wish,0.0,0.0
i_priority_Trivial,0.0,0.0
i_type_Umbrella,0.0,0.0
i_type_Test,0.0,0.0
i_type_Story,0.0,0.0
i_type_Epic,0.0,0.0
i_type_Documentation,0.0,0.0
i_type_Dependency upgrade,0.0,0.0
i_type_Bug,0.0,0.0
i_type_Blog - New Blog Request,0.0,0.0
i_no_change_description,0.0,0.0
d_most_prefer_type_Wish,0.0,0.0
