col_name,feat_imp,norm_feat_imp
d_most_prefer_type_Na,0.012245860368829471,1.0
s_no_teammember,0.005887755429248484,0.4807955710678472
d_most_prefer_type_Bug,0.004266035142027051,0.34836548952377305
s_no_issue,0.003784672822124804,0.30905732289405197
i_no_comments,0.003431637450164881,0.28022836671400786
i_no_change_description,0.0032927747874017537,0.26888880717464
d_developer_activeness,0.003014693050424464,0.24618058344826818
d_no_distinct_action,0.0025724925002951326,0.21007037666729708
i_type_Bug,0.0023102055861395476,0.18865196209650806
i_priority_Low,0.00219688329367857,0.17939803554109612
i_fog_index,0.0018013735469016325,0.14710061136143904
d_no_comment,0.0016962843322431372,0.13851899998474976
i_no_change_priority,0.0016890850993915906,0.13793110884156218
s_plan_duration,0.0012899422225487224,0.10533700235813014
d_most_prefer_type_Suggestion,0.001228372058232042,0.10030916744394144
i_priority_Medium,0.001217777285548393,0.0994439956744987
i_priority_Highest,0.0011192689604200647,0.09139978137175597
i_no_component,0.0011121482034472437,0.09081829858832116
i_priority_High,0.0007188709975765373,0.05870318425370475
i_no_change_fix,0.0003757754146117168,0.030685913712376875
i_type_Suggestion,9.639063729624916e-05,0.007871283388270638
i_priority_Major,0.0,0.0
i_priority_Minor,0.0,0.0
i_priority_Trivial,0.0,0.0
i_priority_Critical,0.0,0.0
i_priority_Blocker,0.0,0.0
d_most_prefer_type_Sub-task,0.0,0.0
