col_name,feat_imp,norm_feat_imp
d_most_prefer_type_Work Item,0.00013375942492553202,1.0
s_plan_duration,0.00013275039971459235,0.9924564178449374
i_fog_index,0.00010961293233474381,0.8194781967384257
i_no_component,9.070293744148707e-05,0.67810501945552
d_most_prefer_type_Bug,9.059765205164707e-05,0.6773178944368635
i_no_change_description,8.750774366231165e-05,0.6542174034542231
d_most_prefer_type_Na,8.486337850785428e-05,0.6344478421247723
i_type_Work Item,8.455811788189652e-05,0.6321656805041784
i_type_Bug,8.453177474943496e-05,0.6319687363824746
i_priority_Major,8.088320976566338e-05,0.6046916679754981
i_no_change_priority,7.988721533769101e-05,0.597245505370307
i_no_change_fix,7.707569580568663e-05,0.5762262797451247
d_most_prefer_type_Backlog Task,7.300729068064798e-05,0.5458104408066451
d_no_distinct_action,7.058928635239461e-05,0.5277331776186525
i_type_New Feature,6.734481795514825e-05,0.5034771792166509
d_most_prefer_type_New Feature,6.548949176406879e-05,0.4896065589436318
d_no_comment,6.473787707345877e-05,0.48398740581832145
i_priority_Minor,6.410426888587542e-05,0.4792504821365988
d_most_prefer_type_Epic,6.382841235894612e-05,0.4771881487564809
s_no_teammember,6.365813020416286e-05,0.4759151008581511
i_no_comments,6.322733098435563e-05,0.47269439906426197
d_developer_activeness,5.9968019623341105e-05,0.448327433051743
s_no_issue,5.397458376589531e-05,0.40351985511259947
i_priority_Trivial,4.9865087174272254e-05,0.372796811903413
i_priority_Blocker,4.39586031368322e-05,0.3286392952220399
i_priority_Critical,3.543341479854633e-05,0.26490406054207544
i_type_Epic,0.0,0.0
