col_name,feat_imp,norm_feat_imp,direction
s_plan_duration,0.00010490800895291728,1.0,+
i_fog_index,6.021305204508019e-05,0.5739604882988848,-
d_most_prefer_type_Work Item,5.5729745679511466e-05,0.5312248915573545,-
i_no_component,4.69591234087677e-05,0.4476219106383284,+
d_most_prefer_type_Bug,4.533819299919841e-05,0.4321709414916662,+
d_most_prefer_type_Backlog Task,3.7515028858709594e-05,0.35759928372624383,+
i_no_change_description,3.551429207679588e-05,0.33852793920371416,+
d_most_prefer_type_Na,3.202886942995506e-05,0.30530433042847677,-
i_no_change_fix,2.8837116037412557e-05,0.27488002417770274,-
d_most_prefer_type_Epic,2.869128571463896e-05,0.2734899461061701,-
i_no_change_priority,2.3558081155998978e-05,0.2245594153499934,-
i_no_comments,2.1076542037710858e-05,0.2009049856924652,-
i_type_New Feature,1.9636972358317975e-05,0.1871827761704166,-
d_most_prefer_type_New Feature,1.9117125140456086e-05,0.18222750895058787,-
i_priority_Major,1.7755800174302034e-05,0.16925114060901525,+
s_no_teammember,1.707162781720875e-05,0.1627294997550711,-
d_no_comment,1.5614194836355962e-05,0.1488370143728837,-
d_developer_activeness,1.2854550021666895e-05,0.12253163652582537,-
s_no_issue,1.1678812508210084e-05,0.111324317607167,+
i_priority_Minor,1.0976274441115037e-05,0.1046276118541263,+
i_type_Bug,9.930086304785814e-06,0.09465517841676356,-
i_priority_Blocker,8.458048042362578e-06,0.08062347314358573,+
i_priority_Trivial,3.5890901908089714e-06,0.034211784463660494,+
d_no_distinct_action,2.7864160616397037e-06,0.02656056567511683,+
i_type_Work Item,1.51896332784079e-06,0.014479002537570803,+
i_priority_Critical,1.2461761600196503e-06,0.011878751417148085,-
i_type_Epic,0.0,0.0,+
