col_name,feat_imp,norm_feat_imp
s_plan_duration,0.012466694414377054,0.9999999999999999
i_type_New Feature,0.006673759414950962,0.535327103811459
i_type_Improvement,0.005678862539265379,0.4555227192154725
i_priority_Major,0.005157020466955946,0.41366382262556134
i_no_component,0.004360041352253147,0.34973515892272017
d_no_distinct_action,0.004302375249072423,0.34510954596839755
s_no_issue,0.003993855441432834,0.3203620228973425
s_no_teammember,0.0037278891755289562,0.2990278779296793
i_fog_index,0.003213739632858798,0.25778602779840293
d_developer_activeness,0.0026389826079029114,0.21168262573754423
d_most_prefer_type_Bug,0.0025999348312382266,0.20855045811020162
d_most_prefer_type_Na,0.002597473023400654,0.20835298733280505
i_priority_Critical,0.0025912259407933117,0.2078518855651915
d_most_prefer_type_Story,0.0025873409116169573,0.2075402529024165
d_most_prefer_type_Improvement,0.002535320506564716,0.2033675024263762
i_no_comments,0.0024969675395488176,0.2002910680692728
d_most_prefer_type_Task,0.002428227579772463,0.19477717982500162
d_no_comment,0.002211962444772363,0.17742974771415315
i_no_change_fix,0.0022032760733779913,0.17673298150607522
d_most_prefer_type_Sub-task,0.0018958921614341674,0.1520765728602246
i_priority_Blocker,0.0016451442889432173,0.1319631519198847
d_most_prefer_type_New Feature,0.0015209081023982232,0.12199770459154398
i_type_Task,0.0003004533287184317,0.024100480747481688
i_priority_Minor,0.0002111625370697495,0.01693813372261929
i_no_change_priority,0.00017869170559188567,0.014333527369196743
d_most_prefer_type_Epic,0.0,0.0
d_most_prefer_type_Suitable Name Search,0.0,0.0
d_most_prefer_type_Documentation,0.0,0.0
d_most_prefer_type_Test,0.0,0.0
i_type_Wish,0.0,0.0
i_priority_Trivial,0.0,0.0
i_type_Umbrella,0.0,0.0
i_type_Test,0.0,0.0
i_type_Story,0.0,0.0
i_type_Epic,0.0,0.0
i_type_Documentation,0.0,0.0
i_type_Dependency upgrade,0.0,0.0
i_type_Bug,0.0,0.0
i_type_Blog - New Blog Request,0.0,0.0
i_no_change_description,0.0,0.0
d_most_prefer_type_Wish,0.0,0.0
