col_name,feat_imp,norm_feat_imp
i_type_Work Item,0.0037362571967183853,1.0
s_plan_duration,0.002946694341456782,0.7886754541536677
i_no_change_fix,0.002861702596306836,0.7659276237247038
d_most_prefer_type_Work Item,0.0024430397314146174,0.6538735431705233
d_most_prefer_type_Bug,0.002202150206268178,0.5894000574163796
d_most_prefer_type_Backlog Task,0.002110793021863539,0.5649485329108185
i_fog_index,0.0019900349992601073,0.5326279467612633
i_no_component,0.0016889713791393085,0.4520490132806594
d_most_prefer_type_Na,0.0015569777051305511,0.41672123281504003
d_developer_activeness,0.0014427429230371434,0.38614657585787393
d_no_distinct_action,0.001425218204879774,0.381456128376699
i_no_comments,0.0013193056393766838,0.35310889211145613
i_priority_Minor,0.001307119700681741,0.3498473557521161
s_no_teammember,0.0012650337992131647,0.3385831682905192
d_no_comment,0.001138662447008356,0.30476018835332364
s_no_issue,0.0011149771928729445,0.2984208886508795
d_most_prefer_type_New Feature,0.001103113096825439,0.2952454926803007
i_no_change_description,0.0010653611915486033,0.285141288582683
i_priority_Major,0.0006953571216984137,0.1861106142021371
i_type_New Feature,0.0005145711385966816,0.13772369285728983
i_type_Bug,0.0004140274373799197,0.1108134198426079
i_priority_Critical,0.0003057020625408667,0.08182040112478599
i_no_change_priority,0.00026214989184262957,0.07016377032953729
i_priority_Trivial,0.0,0.0
i_type_Epic,0.0,0.0
d_most_prefer_type_Epic,0.0,0.0
i_priority_Blocker,0.0,0.0
