col_name,feat_imp,norm_feat_imp
i_type_Improvement,0.008058460466732836,1.0
s_plan_duration,0.0074939022992552545,0.9299421806673611
i_priority_Major,0.006313559975682888,0.7834697460819848
s_no_issue,0.004704766845854827,0.5838294876890169
i_fog_index,0.004465495649102084,0.5541375635627511
i_priority_Minor,0.0037943597523981366,0.4708541746977751
d_most_prefer_type_Na,0.002958394308196399,0.3671165628235475
i_no_component,0.002677010353519159,0.33219873257062793
d_no_distinct_action,0.002408084237819909,0.29882683519526226
d_no_comment,0.0023170678836109326,0.2875323262025442
s_no_teammember,0.002254707999437134,0.2797938897566208
d_most_prefer_type_Improvement,0.0021462361022697453,0.26633326689755416
i_no_change_description,0.0019291490646364067,0.23939424566272607
d_developer_activeness,0.0018265476473424565,0.2266621093300466
i_no_comments,0.0015921101231323085,0.19757001100953495
d_most_prefer_type_Bug,0.00018927702305857391,0.02348798803939694
i_type_Bug,0.00012718926111135497,0.015783320106417507
i_type_Task,6.683788988405452e-05,0.008294126422779708
i_priority_Trivial,0.0,0.0
d_most_prefer_type_Epic,0.0,0.0
d_most_prefer_type_New Feature,0.0,0.0
d_most_prefer_type_Story,0.0,0.0
i_priority_Critical,0.0,0.0
i_priority_Medium,0.0,0.0
i_priority_Highest,0.0,0.0
i_priority_High,0.0,0.0
i_priority_Blocker,0.0,0.0
i_type_Story,0.0,0.0
i_type_New Feature,0.0,0.0
i_type_Epic,0.0,0.0
i_no_change_fix,0.0,0.0
i_no_change_priority,0.0,0.0
d_most_prefer_type_Task,0.0,0.0
